Goyet_Neanderthal.SG Goyet.SG
LesCottes_Neanderthal.SG Les_Cottes.SG
Altai_Neanderthal.DG AltaiNeanderthal.DG
Altai_Neanderthal.DG AltaiNeanderthal_snpAD.DG
DenisovaNeanderthalMix.SG Denisova11.SG
Mezmaiskaya2_Neanderthal.SG Mezmaiskaya2.SG
Spy_Neanderthal.SG Spy.SG
VindijaG1_Neanderthal.SG VindijaG1.SG
Altai_Neanderthal.DG AltaiNeanderthal.DG
AltaiNeanderthal.DG AltaiNeanderthal_snpAD.DG
Ancestor.REF Ancestor.REF
CDX.SG HG02363.SG
CDX.SG HG02372.SG
CDX.SG HG02377.SG
CDX.SG HG02381.SG
CDX.SG HG02387.SG
CDX.SG HG02388.SG
Chimp.REF Chimp.REF
CHS.SG HG00501.SG
CHS.SG HG00635.SG
CHS.SG HG00702.SG
Denisova.DG Denisova3.DG
Denisova.DG Denisova3_snpAD.DG
Gorilla.REF Gorilla.REF
Href.REF Href.REF
KHV.SG HG02024.SG
KHV.SG HG02046.SG
ONG.SG mondal_ONG-1.SG
ONG.SG mondal_ONG-12.SG
ONG.SG mondal_ONG-14.SG
ONG.SG mondal_ONG-4.SG
ONG.SG mondal_ONG-8.SG
ONG.SG mondal_ONG-9.SG
PEL.SG HG01983.SG
RAJ.SG mondal_RAI-11.SG
RAJ.SG mondal_RAI-12.SG
RAJ.SG mondal_RAI-13.SG
RAJ.SG mondal_RAI-15.SG
RAJ.SG mondal_RAI-2.SG
RAJ.SG mondal_RAI-3.SG
RAJ.SG mondal_RAI-4.SG
RAJ.SG mondal_RAI-5.SG
RAJ.SG mondal_RAI-8.SG
RAJ.SG mondal_RAI-9.SG
She.DG S_She-2.DG
She.DG S_She-1.DG
She.DG HGDP01327.DG
She.DG HGDP01328.DG
She.DG HGDP01329.DG
She.DG HGDP01330.DG
She.DG HGDP01331.DG
She.DG HGDP01332.DG
She.DG HGDP01333.DG
She.DG HGDP01334.DG
She.DG HGDP01335.DG
She.DG HGDP01336.DG
YRI_o.SG NA19240.SG
Chagyrskaya_Neanderthal.DG Chagyrskaya8_snpAD.DG
